batter,bowler,balls_with_commentary,avg_sentiment_score,boundary_pct,dot_pct,dominant_pct,controlled_pct,mistimed_pct,beaten_pct,defensive_pct,pressure_index
AJ Finch,M Theekshana,12,0.2083,0.0,0.6667,0.0,0.4167,0.0,0.0,0.5833,0.0
AJ Finch,MD Shanaka,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AJ Finch,MR Adair,5,-0.2,0.0,0.6,0.0,0.4,0.0,0.4,0.2,0.4
AJ Finch,Mustafizur Rahman,6,-0.3333,0.1667,0.5,0.1667,0.0,0.3333,0.3333,0.1667,0.5
AJ Finch,PVD Chameera,5,0.2,0.0,0.6,0.0,0.4,0.0,0.0,0.6,0.0
AJ Finch,PWH de Silva,6,0.25,0.0,0.1667,0.0,0.6667,0.1667,0.0,0.1667,0.1667
AJ Finch,RL Chase,3,0.6667,0.3333,0.0,0.3333,0.6667,0.0,0.0,0.0,-0.3333
AJ Finch,TA Boult,9,0.0,0.0,0.8889,0.0,0.1111,0.1111,0.0,0.7778,0.1111
AJ Finch,TG Southee,4,-0.125,0.0,0.5,0.0,0.5,0.25,0.25,0.0,0.5
AJ Finch,TS Mills,7,0.1429,0.0,0.4286,0.0,0.5714,0.0,0.1429,0.2857,0.1429
AJ Finch,Taskin Ahmed,10,0.0,0.1,0.5,0.1,0.3,0.1,0.2,0.3,0.2
AJ Hosein,A Nortje,3,0.1667,0.0,0.6667,0.0,0.3333,0.0,0.0,0.6667,0.0
AJ Hosein,AU Rashid,6,-0.0833,0.0,0.8333,0.0,0.1667,0.0,0.1667,0.6667,0.1667
AJ Hosein,B Muzarabani,5,0.1,0.0,0.4,0.0,0.6,0.4,0.0,0.0,0.4
AJ Hosein,GD Phillips,3,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,0.3333,0.0
AJ Hosein,JDS Neesham,5,0.2,0.0,0.6,0.0,0.4,0.0,0.0,0.6,0.0
AJ Hosein,K Rabada,2,-0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5
